# 派生词候选_待审核

生成时间	2026-04-28 20:58:57
导入词库数	27
已有词条数	1849482
2字源词数	175235

说明：这是保守规则生成的候选，不会自动入库。确认后再写入 base 或 composite。
列格式：类型	建议目标	源词/源组合	源频	派生候选	来源
verb_object	cn_dicts_cell/composite.dict.yaml	学费	8974	学了费、学完费、学费没、没学费、学没学费、学了个费	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	订单	8747	订了单、订完单、订单没、订没订单、订了个单、订了张单	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	唱歌	8588	唱了歌、唱歌没、唱没唱歌、唱了个歌、唱了首歌	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	录音	8344	录了音、录完音、录音没、没录音、录没录音、录了个音	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	烤箱	7612	烤了箱、烤完箱、烤箱没、没烤箱、烤没烤箱、烤了个箱	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	喝酒	6765	喝酒没、喝没喝酒、喝了个酒、喝了杯酒、喝了瓶酒、喝了口酒	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	配音	6188	配了音、配完音、配音没、没配音、配没配音、配了个音	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	画画	6033	画了画、画完画、画画没、没画画、画没画画、画了个画、画了张画、画了幅画	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	考证	5556	考了证、考完证、考证没、没考证、考没考证、考了个证	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	买房	5539	买没买房、买了个房、买了套房、买了间房	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	背书	5512	背了书、背完书、背书没、没背书、背没背书、背了个书、背了本书、背了部书、背了卷书、背了套书	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	记账	5396	记了账、记完账、记账没、没记账、记没记账、记了个账、记了笔账	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	打球	5268	打了球、打球没、没打球、打没打球、打了个球	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	发票	4721	发了票、发完票、发票没、发没发票、发了个票、发了张票	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	开口	4719	开完口、开口没、开没开口、开了个口	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	关卡	4695	关了卡、关完卡、关卡没、没关卡、关没关卡、关了个卡、关了张卡	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	编码	4444	编了码、编完码、编码没、没编码、编没编码、编了个码	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	背包	4323	背了包、背完包、背包没、没背包、背没背包、背了个包、背了只包	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	听课	4210	听了课、听课没、听没听课、听了个课、听了节课、听了堂课、听了门课	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	买单	4181	买完单、买单没、没买单、买没买单、买了个单、买了张单	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	插画	4035	插了画、插完画、插画没、没插画、插没插画、插了个画、插了张画、插了幅画	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	吃药	3995	吃药没、吃了个药、吃了片药、吃了颗药、吃了粒药	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	借口	3972	借了口、借完口、借口没、借没借口、借了个口	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	打卡	3867	打完卡、打卡没、打没打卡、打了个卡、打了张卡	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	借钱	3842	借完钱、借钱没、没借钱、借没借钱、借了个钱、借了笔钱	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	打包	3841	打了包、打完包、打包没、没打包、打没打包、打了个包、打了只包	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	买车	3825	买完车、买车没、没买车、买没买车、买了个车、买了辆车、买了台车	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	听歌	3482	听了歌、听完歌、听歌没、没听歌、听没听歌、听了个歌、听了首歌	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	写字	3472	写了字、写完字、写字没、没写字、写没写字、写了个字、写了行字	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	开门	3453	开完门、开门没、开没开门、开了个门、开了扇门、开了道门	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	读音	3440	读了音、读完音、读音没、没读音、读没读音、读了个音	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	刷牙	3408	刷牙没、刷没刷牙、刷了个牙	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	发病	3399	发了病、发完病、发病没、没发病、发没发病、发了个病	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	租房	3397	租了房、租完房、租房没、没租房、租没租房、租了个房、租了套房、租了间房	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	打脸	3341	打完脸、打脸没、没打脸、打没打脸、打了个脸	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	付款	3306	付款没、没付款、付没付款、付了个款、付了笔款	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	报纸	3262	报了纸、报完纸、报纸没、没报纸、报没报纸、报了个纸	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	看病	3239	看病没、没看病、看没看病、看了个病	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	踢球	3169	踢了球、踢球没、没踢球、踢没踢球、踢了个球	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	喝水	3012	喝水没、喝没喝水、喝了个水、喝了杯水、喝了瓶水、喝了口水、喝了碗水	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	退款	3010	退了款、退完款、退款没、退没退款、退了个款、退了笔款	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	打字	2967	打了字、打完字、打字没、没打字、打没打字、打了个字、打了行字	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	亲手	2921	亲了手、亲完手、亲手没、没亲手、亲没亲手、亲了个手	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	报表	2894	报了表、报完表、报表没、没报表、报没报表、报了个表	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	打车	2875	打了车、打完车、打车没、没打车、打没打车、打了个车、打了辆车、打了台车	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	画图	2736	画了图、画完图、画图没、没画图、画没画图、画了个图、画了张图、画了幅图	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	还款	2563	还了款、还完款、还款没、没还款、还没还款、还了个款、还了笔款	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	钓鱼	2465	钓完鱼、钓鱼没、没钓鱼、钓没钓鱼、钓了个鱼	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	炒菜	2457	炒了菜、炒完菜、炒菜没、没炒菜、炒没炒菜、炒了个菜、炒了道菜、炒了盘菜	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	放水	2407	放完水、放水没、没放水、放没放水、放了个水、放了杯水、放了瓶水、放了口水、放了碗水	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	翻车	2345	翻完车、翻车没、没翻车、翻没翻车、翻了个车、翻了辆车、翻了台车	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	吃肉	2285	吃肉没、吃没吃肉、吃了个肉、吃了块肉、吃了片肉	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	治病	2263	治了病、治完病、治病没、没治病、治没治病、治了个病	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	试题	2227	试了题、试完题、试题没、没试题、试没试题、试了个题、试了道题	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	摸鱼	2222	摸了鱼、摸完鱼、摸鱼没、没摸鱼、摸没摸鱼、摸了个鱼	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	考题	2220	考了题、考完题、考题没、没考题、考没考题、考了个题、考了道题	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	收钱	2195	收完钱、收钱没、收没收钱、收了个钱、收了笔钱	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	关门	2180	关完门、没关门、关没关门、关了个门、关了扇门、关了道门	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	搬砖	2179	搬了砖、搬完砖、搬砖没、没搬砖、搬没搬砖、搬了个砖	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	背锅	2177	背完锅、背锅没、没背锅、背没背锅、背了个锅	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	交钱	2148	交钱没、交没交钱、交了个钱、交了笔钱	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	借款	2130	借了款、借完款、借款没、没借款、借没借款、借了个款、借了笔款	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	贴图	2123	贴了图、贴完图、贴图没、没贴图、贴没贴图、贴了个图、贴了张图、贴了幅图	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	喝茶	2122	喝茶没、没喝茶、喝没喝茶、喝了个茶、喝了杯茶、喝了壶茶	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	缴费	2025	缴了费、缴完费、缴费没、没缴费、缴没缴费、缴了个费	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	练字	2021	练了字、练完字、练字没、没练字、练没练字、练了个字、练了行字	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	开枪	1962	开完枪、开枪没、没开枪、开没开枪、开了个枪	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	练琴	1920	练了琴、练完琴、练琴没、没练琴、练没练琴、练了个琴	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	配图	1869	配了图、配完图、配图没、没配图、配没配图、配了个图、配了张图、配了幅图	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	发球	1868	发了球、发完球、发球没、没发球、发没发球、发了个球	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	看球	1795	看了球、看球没、没看球、看没看球、看了个球	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	刷卡	1780	刷了卡、刷完卡、刷卡没、没刷卡、刷没刷卡、刷了个卡、刷了张卡	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	买票	1774	买票没、没买票、买没买票、买了个票、买了张票	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	收款	1760	收了款、收完款、收款没、没收款、收没收款、收了个款、收了笔款	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	拿钱	1720	拿完钱、拿钱没、没拿钱、拿没拿钱、拿了个钱、拿了笔钱	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	付钱	1709	付钱没、付没付钱、付了个钱、付了笔钱	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	买书	1690	买完书、买书没、没买书、买没买书、买了个书、买了本书、买了部书、买了卷书、买了套书	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	补课	1685	补了课、补课没、没补课、补没补课、补了个课、补了节课、补了堂课、补了门课	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	看图	1655	看了图、看完图、看图没、没看图、看没看图、看了个图、看了张图、看了幅图	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	插图	1632	插了图、插完图、插图没、没插图、插没插图、插了个图、插了张图、插了幅图	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	写歌	1622	写了歌、写完歌、写歌没、没写歌、写没写歌、写了个歌、写了首歌	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	浇水	1577	浇了水、浇完水、浇水没、没浇水、浇没浇水、浇了个水、浇了杯水、浇了瓶水、浇了口水、浇了碗水	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	拿证	1566	拿完证、拿证没、没拿证、拿没拿证、拿了个证	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	刷单	1562	刷了单、刷完单、刷单没、没刷单、刷没刷单、刷了个单、刷了张单	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	修图	1544	修了图、修完图、修图没、没修图、修没修图、修了个图、修了张图、修了幅图	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	翻墙	1516	翻完墙、翻墙没、没翻墙、翻没翻墙、翻了个墙	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	烤肉	1487	烤了肉、烤完肉、烤肉没、没烤肉、烤没烤肉、烤了个肉、烤了块肉、烤了片肉	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	吸血	1475	吸了血、吸完血、吸血没、没吸血、吸没吸血、吸了个血	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	充钱	1471	充完钱、充钱没、充没充钱、充了个钱、充了笔钱	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	弹琴	1459	弹了琴、弹完琴、弹琴没、没弹琴、弹没弹琴、弹了个琴	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	练手	1455	练了手、练完手、练手没、没练手、练没练手、练了个手	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	砸钱	1441	砸了钱、砸完钱、砸钱没、没砸钱、砸没砸钱、砸了个钱、砸了笔钱	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	买菜	1434	买菜没、没买菜、买没买菜、买了个菜、买了道菜、买了盘菜	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	贴纸	1427	贴了纸、贴完纸、贴纸没、没贴纸、贴没贴纸、贴了个纸	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	翻盘	1419	翻了盘、翻完盘、翻盘没、没翻盘、翻没翻盘、翻了个盘	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	洗牙	1413	洗了牙、洗牙没、没洗牙、洗没洗牙、洗了个牙	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	开花	1409	开花没、没开花、开没开花、开了个花	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	打牌	1374	打了牌、打牌没、没打牌、打没打牌、打了个牌	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	脱水	1346	脱了水、脱完水、脱水没、没脱水、脱没脱水、脱了个水、脱了杯水、脱了瓶水、脱了口水、脱了碗水	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	种草	1327	种完草、种草没、没种草、种没种草、种了个草	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	拿球	1279	拿了球、拿完球、拿球没、没拿球、拿没拿球、拿了个球	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	还钱	1271	还了钱、还完钱、还钱没、还没还钱、还了个钱、还了笔钱	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	写手	1269	写了手、写完手、写手没、没写手、写没写手、写了个手	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	挖坑	1230	挖完坑、挖坑没、没挖坑、挖没挖坑、挖了个坑	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	刷屏	1217	刷了屏、刷完屏、刷屏没、没刷屏、刷没刷屏、刷了个屏	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	弹药	1205	弹了药、弹完药、弹药没、弹没弹药、弹了个药、弹了片药、弹了颗药、弹了粒药	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	审题	1204	审了题、审完题、审题没、没审题、审没审题、审了个题、审了道题	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	扫码	1174	扫了码、扫完码、扫码没、没扫码、扫没扫码、扫了个码	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	拖鞋	1171	拖了鞋、拖完鞋、拖鞋没、没拖鞋、拖没拖鞋、拖了个鞋	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	练车	1160	练了车、练车没、没练车、练没练车、练了个车、练了辆车、练了台车	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	交手	1140	交了手、交完手、交手没、没交手、交没交手、交了个手	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	抽血	1127	抽血没、没抽血、抽没抽血、抽了个血	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	炸药	1114	炸了药、炸完药、炸药没、没炸药、炸没炸药、炸了个药、炸了片药、炸了颗药、炸了粒药	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	写书	1105	写了书、写完书、写书没、没写书、写没写书、写了个书、写了本书、写了部书、写了卷书、写了套书	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	敲门	1101	敲完门、敲门没、敲没敲门、敲了个门、敲了扇门、敲了道门	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	咬字	1096	咬了字、咬完字、咬字没、没咬字、咬没咬字、咬了个字、咬了行字	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	学琴	1066	学了琴、学完琴、学琴没、没学琴、学没学琴、学了个琴	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	试水	1046	试了水、试完水、试水没、没试水、试没试水、试了个水、试了杯水、试了瓶水、试了口水、试了碗水	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	修车	1040	修了车、修完车、修车没、没修车、修没修车、修了个车、修了辆车、修了台车	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	吐血	1027	吐完血、吐血没、没吐血、吐没吐血、吐了个血	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	拔牙	1022	拔牙没、没拔牙、拔没拔牙、拔了个牙	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	炒锅	1009	炒了锅、炒完锅、炒锅没、没炒锅、炒没炒锅、炒了个锅	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	打针	999	没打针、打没打针、打了个针	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	洗头	998	洗头没、洗没洗头、洗了个头	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	放手	995	放完手、放手没、放没放手、放了个手	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	灌水	994	灌了水、灌完水、灌水没、没灌水、灌没灌水、灌了个水、灌了杯水、灌了瓶水、灌了口水、灌了碗水	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	开盘	961	开了盘、开完盘、开盘没、没开盘、开没开盘、开了个盘	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	开票	939	开了票、开完票、开票没、开没开票、开了个票、开了张票	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	炒饭	932	炒了饭、炒完饭、炒饭没、没炒饭、炒没炒饭、炒了个饭、炒了碗饭、炒了顿饭	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	画笔	932	画了笔、画完笔、画笔没、没画笔、画没画笔、画了个笔	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	抽卡	916	抽了卡、抽完卡、抽卡没、没抽卡、抽没抽卡、抽了个卡、抽了张卡	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	洗钱	914	洗了钱、洗完钱、洗钱没、没洗钱、洗没洗钱、洗了个钱、洗了笔钱	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	抬手	913	抬了手、抬完手、抬手没、没抬手、抬没抬手、抬了个手	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	放眼	912	放了眼、放完眼、放眼没、没放眼、放没放眼、放了个眼	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	捞钱	903	捞了钱、捞完钱、捞钱没、没捞钱、捞没捞钱、捞了个钱、捞了笔钱	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	洗手	895	洗了手、洗手没、没洗手、洗没洗手、洗了个手	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	洗碗	893	洗了碗、洗碗没、没洗碗、洗没洗碗、洗了个碗	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	剪刀	877	剪了刀、剪完刀、剪刀没、没剪刀、剪没剪刀、剪了个刀	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	写照	876	写了照、写完照、写照没、没写照、写没写照、写了个照、写了张照	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	租车	867	租了车、租完车、租车没、没租车、租没租车、租了个车、租了辆车、租了台车	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	放图	858	放了图、放完图、放图没、没放图、放没放图、放了个图、放了张图、放了幅图	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	烤盘	857	烤了盘、烤完盘、烤盘没、没烤盘、烤没烤盘、烤了个盘	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	煮饭	857	煮了饭、煮完饭、煮饭没、没煮饭、煮没煮饭、煮了个饭、煮了碗饭、煮了顿饭	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	看脸	852	看了脸、看完脸、看脸没、没看脸、看没看脸、看了个脸	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	发钱	850	发了钱、发完钱、发钱没、没发钱、发没发钱、发了个钱、发了笔钱	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	咬牙	845	咬了牙、咬完牙、咬牙没、没咬牙、咬没咬牙、咬了个牙	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	炸鱼	841	炸了鱼、炸完鱼、炸鱼没、没炸鱼、炸没炸鱼、炸了个鱼	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	翻书	841	翻了书、翻完书、翻书没、没翻书、翻没翻书、翻了个书、翻了本书、翻了部书、翻了卷书、翻了套书	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	退路	830	退了路、退完路、退路没、退没退路、退了个路	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	开课	823	开了课、开完课、开课没、没开课、开没开课、开了个课、开了节课、开了堂课、开了门课	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	开箱	810	开了箱、开完箱、开箱没、没开箱、开没开箱、开了个箱	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	开药	801	开完药、开药没、没开药、开没开药、开了个药、开了片药、开了颗药、开了粒药	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	开刀	800	开了刀、开完刀、开刀没、没开刀、开没开刀、开了个刀	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	配菜	797	配了菜、配完菜、配菜没、没配菜、配没配菜、配了个菜、配了道菜、配了盘菜	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	洗脸	796	洗脸没、洗没洗脸、洗了个脸	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	插手	791	插了手、插完手、插手没、没插手、插没插手、插了个手	cn_dicts/base.dict.yaml
